nr,lab,github,name,colab,link
1,lab-semantic-kernel,code,6_core_plugins.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/6_core_plugins.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/6_core_plugins.ipynb )
2,lab-semantic-kernel,code,4_design.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/4_design.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/4_design.ipynb )
3,lab-semantic-kernel,code,1_kernel.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/1_kernel.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/1_kernel.ipynb )
4,lab-semantic-kernel,code,2_swot.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/2_swot.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/2_swot.ipynb )
5,lab-semantic-kernel,code,7_apps.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/7_apps.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/7_apps.ipynb )
6,lab-semantic-kernel,code,notebook.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/notebook.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/notebook.ipynb )
7,lab-semantic-kernel,code,3_business_plugins.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/3_business_plugins.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/3_business_plugins.ipynb )
8,lab-semantic-kernel,code,5_database.ipynb,https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/5_database.ipynb ,- [💻 Jupyter Notebook](https://colab.research.google.com/github/kirenz/lab-semantic-kernel/blob/main/code/5_database.ipynb )
